Organization Name,Address,Full Address,Latitude,Longitude,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Census Tract,BIN,BBL,NTA
"Pulse Ensemble Theatre, Inc.","248 West 35th Street, 15th Floor","248 West 35th Street, 15th Floor, New York",40.7522869,-73.9921187,New York,NY,10001,(212) 695-1596,Theater,Manhattan Council District #5,Manhattan Community Board #3,Manhattan,109,1014416,1007840068,Midtown-Midtown South
"Puppet Works, Inc.",338 6th Avenue,"338 6th Avenue, Brooklyn",40.6710508,-73.981694,Brooklyn,NY,11215,(718) 965-3391,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,135,3021213,3009850043,Park Slope-Gowanus
"Puppetry Arts Theatre, Inc.","339 2nd Street, Apt. 1R","339 2nd Street, Apt. 1R, Brooklyn",40.6737664,-73.9831636,Brooklyn,NY,11215,(718) 768-3703,"Multi-Discipline, Performing",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,135,3020784,3009690048,Park Slope-Gowanus
Puppetry in Practice Inc.,Brooklyn College,"Brooklyn College, New York",40.6318373,-73.9530355,New York,NY,11210,(718) 951-4240,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #45,Brooklyn Community Board #14,Brooklyn,772,3000000,3075520100,Flatbush
Purelements: An Evolution in Dance,1958 Fulton Street,"1958 Fulton Street, NY",40.6786268,-73.9201668,NY,NY,11233,(347) 533-8933,Dance,Brooklyn Council District #42,Brooklyn Community Board #3,Brooklyn,301,3042090,3015480019,Ocean Hill
QMAD Queens Media Arts Development,"35-05 94th Street, Ste. 5A","35-05 94th Street, Ste. 5A, Jackson Heights",40.7526419,-73.8733419,Jackson Heights,NY,11372,(646) 338-6301,"Multi-Discipline, Non-Perform",Queens Council District #21,Queens Community Board #3,Queens,273,4036162,4014680001,Jackson Heights
QTP_GV_9132010111442AM,60 Main Street,"60 Main Street, NewBronx",40.7615826,-73.8314094,NewBronx,NY,10088,(212) 222-7755,Crafts,Queens Council District #23,Queens Community Board #8,Manhattan,,,,
Qi Shu Fang Peking Opera Association,80-31 88 Road,"80-31 88 Road, Queens",40.689718,-73.860334,Queens,NY,11421,(608) 363-2081,Folk Arts,Queens Council District #32,Queens Community Board #9,Queens,10,4183552,4089160063,Woodhaven
"Qubit New Music, Inc.",523 West 143rd Street,"523 West 143rd Street, New York",40.8248517,-73.9501952,New York,NY,10031,(646) 683-8409,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,229,1061882,1020750011,Hamilton Heights
"Queen's Theatre Company, Inc.",Times Square Station,"Times Square Station, New York",40.7552574,-73.986933,New York,NY,10108,(917) 648-4167,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,113,1000000,1009950001,Midtown-Midtown South
"Queens Botanical Garden Society, Inc.",43-50 Main Street,"43-50 Main Street, Flushing",40.7511528,-73.8274729,Flushing,NY,11355,(718) 886-3800,Botanical,Queens Council District #20,Queens Community Board #7,Queens,79702,4439682,4051070200,Flushing
"Ruth Williams Dance Foundation, Inc.",2090 Adam Clayton Powell Jr. Boulevard,"2090 Adam Clayton Powell Jr. Boulevard, New York",40.8087425,-73.9489166,New York,NY,10027,(212) 662-6403,Dance,,Manhattan Community Board #10,Manhattan,,,,
Queens Community Civic Corporation,68-01 A  136 Street,"68-01 A  136 Street, Flushing",40.7304452,-73.8315681,Flushing,NY,11367,(718) 261-8015,"Multi-Discipl, Perf & Non-Perf",Queens Council District #24,Queens Community Board #8,Queens,809,,,Kew Gardens Hills
Queens Council on the Arts,37-11 35th Avenue,"37-11 35th Avenue, Astoria",40.7558005,-73.9231103,Astoria,NY,11101,(347) 505-3018,"Multi-Discipline, Non-Perform",Queens Council District #26,Queens Community Board #1,Queens,57,4009644,4006450001,Astoria
Queens Historical Society,143-35 37th Avenue,"143-35 37th Avenue, Flushing",40.7635896,-73.8241509,Flushing,NY,11354,(718) 939-0647 x18,Museum,Queens Council District #20,Queens Community Board #7,Queens,865,4430341,4050120060,Flushing
"Queens Jewish Community Council, Inc.",119-45 Union Turnpike,"119-45 Union Turnpike, Forest Hills",40.7140624,-73.832397,Forest Hills,NY,11375,(718) 544-9033,"Multi-Discipline, Performing",Queens Council District #29,Queens Community Board #6,Queens,76902,4312087,4033477501,Forest Hills
"Queens Lesbian & Gay Pride Committee, Inc.",P.O. Box 720464,"P.O. Box 720464, Queens",40.7282239,-73.7948516,Queens,NY,11372,(917) 587-4241,"Multi-Discipline, Performing",Queens Council District #25,Queens Community Board #3,Queens,,,,
Queens Lesbian and Gay Community Center Inc.,"76-11 37 Avenue, 2nd floor","76-11 37 Avenue, 2nd floor, Jackson Heights",40.749476,-73.8895085,Jackson Heights,NY,11372,(917) 848-2630,"Multi-Discipl, Perf & Non-Perf",Queens Council District #25,Queens Community Board #3,Queens,287,4029578,4012760037,Jackson Heights
"Queens Lesbian and Gay Pride Committee, Inc.",Pride not Prejudice,"Pride not Prejudice, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11226,(917) 587-4241,Theater,Queens Council District #25,Queens Community Board #10,Queens,,,,
Queens Museum of Art,New York City Building / Flushing Meadows Park,"New York City Building / Flushing Meadows Park, Corona",40.7457885,-73.8467079,Corona,NY,11368,(718) 592-9700,Visual Arts,Queens Council District #21,Queens Community Board #7,Queens,,,,
Queens Symphony Orchestra,c/o Queens College,"c/o Queens College, Flushing",40.7362341,-73.8160795,Flushing,NY,11367,(718) 326-4455 x18,Music,Queens Council District #30,Queens Community Board #5,Queens,809,4000000,4065170001,Kew Gardens Hills
"Queens Theatre in the Park, Inc.",14 United Nations Avenue South,"14 United Nations Avenue South, Queens",40.7441339,-73.8444316,Queens,NY,11368,(718) 760-0064,Theater,Queens Council District #21,Queens Community Board #7,Queens,38302,4464056,4020180001,park-cemetery-etc-Queens
"Queensborough Community College Fund, Inc.",22205 56th Avenue,"22205 56th Avenue, Bayside",40.7537766,-73.7582202,Bayside,NY,11364,(718) 281-5770,"Multi-Discipl, Perf & Non-Perf",Queens Council District #23,Queens Community Board #11,Queens,138501,4439440,4074900002,Oakland Gardens
"Queer Urban Orchestra, Inc.","P.O. Box 438, Radio City Station","P.O. Box 438, Radio City Station, New York",40.7637423,-73.9864296,New York,NY,10101,(646) 233-4113,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,104,1083862,1012660001,Midtown-Midtown South
Queer/Art Inc.,"176 Grand St., Ste. 601","176 Grand St., Ste. 601, New York",40.719663,-73.997675,New York,NY,10013,(212) 431-0147,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,41,1006972,1004710025,SoHo-TriBeCa-Civic Center-Little Italy
"Quest Youth Organization, Inc.",PO Box 26724,"PO Box 26724, Brooklyn",40.6781784,-73.9441579,Brooklyn,NY,11202,(718) 928-7058,Music,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,,,,
"Quintet of the Americas, Inc.",15 Circle Road,"15 Circle Road, Douglaston",40.771755,-73.747285,Douglaston,NY,11363,(718) 230-5189,Music,Queens Council District #19,Queens Community Board #11,Queens,1483,4168672,4080950076,Douglas Manor-Douglaston-Little Neck
"RPGA Studio, Inc",43-01 22nd street suite 252,"43-01 22nd street suite 252, LIC",40.7495655,-73.944851,LIC,NY,11101,(347) 201-2186,Visual Arts,Queens Council District #29,Queens Community Board #6,Queens,19,4005194,4004400008,Hunters Point-Sunnyside-West Maspeth
"RX Art, Inc.",208 Forsyth Street,"208 Forsyth Street, New York",40.7228338,-73.99028,New York,NY,10002,(212) 260-8797,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,3601,1005614,1004220044,Chinatown
Rabbit Hole Ensemble,415 Ocean Parkway,"415 Ocean Parkway, Brooklyn",40.6387668,-73.9725804,Brooklyn,NY,11218,(718) 686-6624,Theater,Brooklyn Council District #39,Brooklyn Community Board #12,Brooklyn,490,3126217,3053750049,Kensington-Ocean Parkway
"Racing Thoughts, Inc.","55 North Moore Street, #3","55 North Moore Street, #3, New York",40.7201425,-74.0090279,New York,NY,10013,(212) 226-5109,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,39,1002120,1001880001,SoHo-TriBeCa-Civic Center-Little Italy
"Racoco Productions, Inc.",109 North 9th Street 3R,"109 North 9th Street 3R, Brooklyn",40.7201711,-73.958183,Brooklyn,NY,11249,(718) 381-4074,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #1,Manhattan,,,,
"Radio Diaries, Inc.",20 Jay Street,"20 Jay Street, Brooklyn",40.7041895,-73.9867797,Brooklyn,NY,11201,(718) 858-1640,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,21,3000010,3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Radio Foundation, Inc.",1 West 89th Street,"1 West 89th Street, New York",40.7874352,-73.9681695,New York,NY,10024,(212) 595-1837,Other,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,173,1031567,1012037502,Upper West Side
"RadioHole, Inc.",294 Macon Street,"294 Macon Street, Brooklyn",40.682054,-73.938979,Brooklyn,NY,11216,(718) 218-6996,"Multi-Discipline, Performing",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,273,3053408,3018530029,Stuyvesant Heights
Rajkumari Cultural Center,"83-84 116th Street, Suite 2K","83-84 116th Street, Suite 2K, New York",40.704103,-73.836034,New York,NY,11418,(718) 846-5431,"Multi-Discipline, Performing",Queens Council District #29,Queens Community Board #9,Queens,134,4192308,4092090049,Kew Gardens
"Randall's Island Park Alliance, Inc.",24 West 61st St. 4th Floor,"24 West 61st St. 4th Floor, New York",40.7697706,-73.982895,New York,NY,10024,(212) 830-7722,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #7,Manhattan,145,1027194,1011130051,Lincoln Square
"Random Access Music, Ltd.",22-13 37th Street,"22-13 37th Street, Astoria",40.7733633,-73.9077095,Astoria,NY,11105,(718) 721-8311,Music,Queens Council District #22,Queens Community Board #1,Staten Island,,,,
"Rattapallax, Incorporated","532 La Guardia Place, Ste. 353","532 La Guardia Place, Ste. 353, New York",40.7286733,-73.9987336,New York,NY,10012,(646) 416-4702,Literature,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,65,1008643,1005370029,West Village
"Rattlestick Productions, Inc.",224 Waverly Place,"224 Waverly Place, New York",40.7362277,-74.0020598,New York,NY,10014,(212) 627-2556,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,73,1080204,1006130023,West Village
"ReLIT NY, Inc.",PO Box 1833,"PO Box 1833, New York",,,New York,NY,10016,(917) 573-0034,Literature,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,,,,
"Reach Into Cultural Heights, Inc.","90-04 161st Street, Ste. 201","90-04 161st Street, Ste. 201, Jamaica",40.7051581,-73.7996541,Jamaica,NY,11432,(718) 523-4099,Film/Video/Audio,Queens Council District #27,Queens Community Board #12,Queens,44601,4208850,4097570023,Jamaica
"Reaching for the Arts, Inc.","482 FORT WASHINGTON AVE, #2A","482 FORT WASHINGTON AVE, #2A, New York",40.8515784,-73.9377732,New York,NY,10033,(917) 868-9253,"Multi-Discipline, Performing",Manhattan Council District #10,Manhattan Community Board #12,Manhattan,273,1064385,1021800007,Washington Heights North
"Recess Activities, Inc.",46 Washington Avenue,"46 Washington Avenue, Brooklyn",40.6973716,-73.968016,Brooklyn,NY,11205,(646) 863-3765,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #2,Brooklyn,543,3054134,3018740034,park-cemetery-etc-Brooklyn
"Recording Artists' Development, Inc.",17 Gay Street #8,"17 Gay Street #8, New York",40.7336158,-74.0002232,New York,NY,10014,(212) 727-2625,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,71,1010266,1005930008,West Village
"Rector, Church Wardens, Vestrymembers of the Church of St. Luke in the Field",487 Hudson Street,"487 Hudson Street, New York",40.7325862,-74.0067038,New York,NY,10014,(212) 924-0562,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,69,1067305,1006050031,West Village
"Red Bull Theater, Inc.",191 SEVENTH AVENUE,"191 SEVENTH AVENUE, New York",40.7429075,-73.99621,New York,NY,10011,(212) 414-5168 x3,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,87,1080586,1007970002,Hudson Yards-Chelsea-Flatiron-Union Square
"Red Fern Theatre Company, Inc.","160 East 38th Street, #10D","160 East 38th Street, #10D, New York",40.7481485,-73.9768734,New York,NY,10016,(646) 554-3791,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,80,1019099,1008930041,Murray Hill-Kips Bay
Red Monkey Theater Group,College of Mount Saint Vincent,"College of Mount Saint Vincent, New York",40.9124186,-73.9030113,New York,NY,10471,(914) 693-1646,Theater,Bronx Council District #11,Bronx Community Board #8,Bronx,319,2000000,2059580001,North Riverdale-Fieldston-Riverdale
"Red Umbrella Project, Inc.",101 West 23rd St,"101 West 23rd St, New York",40.7433442,-73.9929538,New York,NY,10011,(347) 927-3867,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,91,1014954,1007990035,Hudson Yards-Chelsea-Flatiron-Union Square
Redhawk Indian Arts Council,726 42nd Street,"726 42nd Street, Brooklyn",40.6464082,-74.000759,Brooklyn,NY,11232,(718) 686-9297,Folk Arts,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,92,3018276,3009240017,Sunset Park East
"Reel Lives, Inc.","136 Metropolitan Avenue, 4C","136 Metropolitan Avenue, 4C, Brooklyn",40.7159676,-73.9625934,Brooklyn,NY,11249,(646) 488-2991,Film/Video/Audio,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,555,3062437,3023647501,North Side-South Side
"Reel Stories Teen Filmmaking, Inc.",c/o Center For The Urban Environment,"c/o Center For The Urban Environment, Brooklyn",40.6729186,-73.9909457,Brooklyn,NY,11215,(718) 768-9000,Film/Video/Audio,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,,,,
"Regina Opera Company, Inc.",Regina Opera Company c/o Fran Garber,"Regina Opera Company c/o Fran Garber, Brooklyn",40.6389669,-74.0144862,Brooklyn,NY,11218,(718) 232-3555,Music,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,,,,
Regional Plan Association,4 Irving Place,"4 Irving Place, New York",40.7341443,-73.9883294,New York,NY,10003,(917) 546-4304,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #6,Manhattan,50,1084936,1008700024,Gramercy
"Rejoicensemble, Inc.",1877 Ocean Avenue Suite 1E,"1877 Ocean Avenue Suite 1E, Brooklyn",40.6158595,-73.9542591,Brooklyn,NY,11230,(212) 368-7117,Music,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn,546,3210673,3076740039,Midwood
"Relationship Performance and Art Group, Inc.","100 Saint Mark's Place, Apt. 7","100 Saint Mark's Place, Apt. 7, New York",40.727152,-73.9847511,New York,NY,10009,(212) 533-9169,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,32,1005825,1004350014,East Village
Renaissance Youth Center,3485 Third Ave,"3485 Third Ave, Bronx",40.8306857,-73.9063586,Bronx,NY,10456,(718) 450-3466,Music,Bronx Council District #16,Bronx Community Board #3,Bronx,145,2001324,2023720032,Claremont-Bathgate
"Repast Ensemble, Inc.",61 Eastern Pkwy,"61 Eastern Pkwy, Brooklyn",40.673058,-73.966351,Brooklyn,NY,11238,(347) 453-9137,Music,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn,215,3029634,3011790085,Prospect Heights
Research Foundation of CUNY,230 West 41st Street,"230 West 41st Street, New York",40.7557231,-73.9888607,New York,NY,10036,(212) 652-2800,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,113,1080830,1010120015,Midtown-Midtown South
"Residency Unlimited, Inc.",360 Court St. unit #4,"360 Court St. unit #4, Brooklyn",40.6820474,-73.996455,Brooklyn,NY,11231,(646) 327-8511,Visual Arts,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,67,3004582,3003457501,Carroll Gardens-Columbia Street-Red Hook
"Resonant Bodies Festival, Inc.",509 Atlantic Ave.,"509 Atlantic Ave., Brooklyn",40.6855949,-73.9808319,Brooklyn,NY,11217,(517) 515-8525,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,39,3000753,3001797503,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
Reverend Linnette C. Williamson Memorial Park Association,"141 West 139th Street, Apt. C44","141 West 139th Street, Apt. C44, New York",40.8176879,-73.940871,New York,NY,10030,(212) 566-0828,"Multi-Discipline, Non-Perform",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,230,1060053,1020080006,Central Harlem North-Polo Grounds
"Reverie Productions, Inc.","520 Eighth Avenue, Ste. 317","520 Eighth Avenue, Ste. 317, New York",40.753615,-73.9920415,New York,NY,10018,(212) 244-7803,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,109,1083624,1007860001,Midtown-Midtown South
Reversing The Projections. Inc,113-35 Farmers Boulevard,"113-35 Farmers Boulevard, Saint Albans",40.698464,-73.76219,Saint Albans,NY,11412,(718) 217-5117,Dance,Queens Council District #27,Queens Community Board #12,Queens,526,4235658,4109880006,St. Albans
Rhizome,235 Bowery,"235 Bowery, New York",40.7224101,-73.992874,New York,NY,10002,(212) 219-1222 x208,New Media,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,3601,1005709,1004260012,Chinatown
Richard Allen Center for Culture and Art,40 Peck Slip,"40 Peck Slip, New York",40.707405,-74.0016543,New York,NY,10038,(917) 605-4014,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,1501,1001338,1000970031,Battery Park City-Lower Manhattan
Richmond Choral Society,P. O. Box 141002,"P. O. Box 141002, Staten Island",40.5795317,-74.1502007,Staten Island,NY,10314,(718) 720-6422,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,,,,
Richmond County Orchestra,P.O. Box 140626,"P.O. Box 140626, Staten Island 10314",40.6138834,-74.1231582,Staten Island 10314,NY,10314,(718) 390-4306,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,,,,
Ridge Chorale Inc.,80 80th Street,"80 80th Street, Brooklyn",40.6293215,-74.0366105,Brooklyn,NY,11209,(646) 220-5813,Theater,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,44,3151160,3059850017,Bay Ridge
"Ridgewood Bushwick Senior Citizens Council, Inc.",555 Bushwick Avenue,"555 Bushwick Avenue, New York",40.6993755,-73.9353996,New York,NY,11206,(718) 821-0254,Theater,Brooklyn Council District #34,Brooklyn Community Board #4,Brooklyn,391,3071908,3031510012,Bushwick South
"Rincon Criollo Cultural Center, Inc.","1580 Monroe Avenue, #2","1580 Monroe Avenue, #2, Bronx",40.842707,-73.9068441,Bronx,NY,10457,(347) 679-6802,Folk Arts,,Bronx Community Board #1,Bronx,,,,
"Rio Grande Union, Inc.","541 Broadway, Third Floor","541 Broadway, Third Floor, New York",40.7469829,-73.985343,New York,NY,10012,(212) 966-6999,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,49,1007580,1004980018,SoHo-TriBeCa-Civic Center-Little Italy
"Ripe Time, Inc.","138 South Oxford Street, Ste. 4D","138 South Oxford Street, Ste. 4D, Brooklyn",40.6851273,-73.9734987,Brooklyn,NY,11217,(718) 622-3650,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,179,3000000,3020040048,Fort Greene
"Ripple Effect Artists, Inc.",601 W. 26th Street,"601 W. 26th Street, New York",40.7516571,-74.0071579,New York,NY,10001,(917) 773-2933,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,99,1012268,1006720001,Hudson Yards-Chelsea-Flatiron-Union Square
"Rising Circle Theater Collective, Inc.",212 South Oxford Street,"212 South Oxford Street, Brooklyn",40.6832915,-73.9735977,Brooklyn,NY,11217,(646) 245-5050,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,179,3397489,3020047501,Fort Greene
"Riverdale Community Center, Inc.",660 West 237th Street,"660 West 237th Street, Bronx",40.8877008,-73.913605,Bronx,NY,10463,(718) 796-4724,Theater,Bronx Council District #11,Bronx Community Board #8,Bronx,309,2085870,2059180376,North Riverdale-Fieldston-Riverdale
"Riverside Opera Company, Inc.","1000 Richmond Terrace, Box 2-8","1000 Richmond Terrace, Box 2-8, Staten Island",40.6419122,-74.1019409,Staten Island,NY,10301,(718) 390-4306,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,97,5000000,5000760200,West New Brighton-New Brighton-St. George
"Riverside Symphony, Inc.",225 West 99th Street,"225 West 99th Street, New York",40.7962913,-73.9690907,New York,NY,10025,(212) 864-4197,Music,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,187,1084035,1018710029,Upper West Side
"Riverside Theatre, Inc.",490 Riverside Drive,"490 Riverside Drive, New York",40.8118356,-73.9630243,New York,NY,10027,(212) 870-6877,"Multi-Discipline, Performing",Manhattan Council District #9,Manhattan Community Board #9,Manhattan,205,1081792,1019910032,Morningside Heights
"Robert H. Clampitt Foundation, Inc.","163 Amsterdam Avenue, #149","163 Amsterdam Avenue, #149, New York",40.775595,-73.9835106,New York,NY,10023,(202) 316-3917,"Multi-Discipline, Non-Perform",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,153,1028849,1011390001,Lincoln Square
"Roberta Wells Conservatory of Arts & Learning, Inc.",P.O. Box 690075,"P.O. Box 690075, East Elmhurst",40.7737505,-73.8713099,East Elmhurst,NY,11369,(718) 565-0399,"Multi-Discipl, Perf & Non-Perf",Queens Council District #21,Queens Community Board #3,Queens,,,,
"Rockaway Artists Alliance, Inc.",260 Beach 116th Street,"260 Beach 116th Street, Rockaway Park",40.5811072,-73.8376356,Rockaway Park,NY,11694,(718) 474-0861,"Multi-Discipl, Perf & Non-Perf",Queens Council District #32,Queens Community Board #14,Queens,938,4303771,4161660483,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
Rockaway Theatre Company,P.O. Box 950398,"P.O. Box 950398, Far Rockaway",40.5998931,-73.7448437,Far Rockaway,NY,11695,(917) 817-5594,Theater,Queens Council District #32,Queens Community Board #14,Queens,,,,
"Rockaway Waterfront Alliance, Inc.",PO Box 900645,"PO Box 900645, Far Rockaway",40.5998931,-73.7448437,Far Rockaway,NY,11690,(718) 327-5919,"Multi-Discipline, Non-Perform",Queens Council District #31,Queens Community Board #14,Queens,,,,
"Rocking the Boat, Inc.",812 Edgewater Road,"812 Edgewater Road, Bronx",40.8178764,-73.8831849,Bronx,NY,10474,(718) 466-5799,"Multi-Discipline, Non-Perform",Bronx Council District #17,Bronx Community Board #2,Bronx,11502,2006493,2027620314,Hunts Point
"Rod Rodgers Dance Company, Inc.",62 East 4th Street,"62 East 4th Street, New York",40.7264515,-73.9907391,New York,NY,10003,(212) 674-9066,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,38,1077964,1004590017,East Village
Romare Bearden Foundation,"2090 Adam Clayton Powell, Jr. Blvd","2090 Adam Clayton Powell, Jr. Blvd, New York",40.8087425,-73.9489166,New York,NY,10027,(212) 924-0455 x105,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,222,1058640,1019300030,Central Harlem South
Rooftop Films,"232 3rd Street, Apt. D101","232 3rd Street, Apt. D101, Brooklyn",40.6747512,-73.987844,Brooklyn,NY,11215,(212) 277-8021,Film/Video/Audio,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,119,3337594,3009800008,Park Slope-Gowanus
Roosevelt Island Historical Society,P.O. Box 5,"P.O. Box 5, Roosevelt Island",40.7649371,-73.9468223,Roosevelt Island,NY,10044,(212) 688-4836,Humanities,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,,,,
Roosevelt Island Theatre Corporation,548 Main Street,"548 Main Street, New York",40.7618032,-73.9496181,New York,NY,10044,(212) 371-4449,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,23801,1084696,1013730030,Lenox Hill-Roosevelt Island
"Roosevelt Island Youth Program, Inc.",506 Main Street,"506 Main Street, New York",40.761067,-73.9503965,New York,NY,10044,(212) 935-3645,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,23801,1083215,1013730001,Lenox Hill-Roosevelt Island
"Roots&Branches Theater, Inc.",254 Wythe Avenue,"254 Wythe Avenue, Brooklyn",40.717207,-73.96316,Brooklyn,NY,11249,(315) 497-7628,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,,,,
Rosie's Theater Kids,445 West 45th Street,"445 West 45th Street, New York",40.7613707,-73.9930419,New York,NY,10036,(646) 434-2773,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,121,1026440,1010550010,Clinton
"Roulette Intermedium, Inc.",509 Atlantic Avenue,"509 Atlantic Avenue, Brooklyn",40.6855949,-73.9808319,Brooklyn,NY,11217,(212) 219-8242,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,39,3000753,3001797503,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
"Roundabout Theatre Company, Inc.","231 West 39th Street, Ste. 1200","231 West 39th Street, Ste. 1200, New York",40.7548855,-73.9896215,New York,NY,10018,(212) 719-9393,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,113,1014499,1007890021,Midtown-Midtown South
"Roundtable Ensemble, Ltd.",P.O. Box 6272,"P.O. Box 6272, New York",40.7127753,-74.0059728,New York,NY,10128,(212) 223-2619,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,,,,
"Roust Theatre Company, Inc.","211 West 107th Street, Apt. 5W","211 West 107th Street, Apt. 5W, New York",40.801719,-73.966175,New York,NY,10025,(212) 666-3813,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,195,1056652,1018790021,Morningside Heights
"Royal Family Productions, Inc.",66 Pinehurst Ave.,"66 Pinehurst Ave., New York",40.8505695,-73.9398856,New York,NY,10033,(646) 244-8207,Theater,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,265,1064307,1021770132,Washington Heights South
"Royal People Group, Inc.",147-12 Archer Ave,"147-12 Archer Ave, Jamaica",40.7004949,-73.80705,Jamaica,NY,11435,(718) 291-1094,Literature,Queens Council District #28,Queens Community Board #12,Queens,208,4213999,4099980091,Jamaica
Rubin Museum of Art,150 West 17th Street,"150 West 17th Street, New York",40.7401773,-73.9978141,New York,NY,10011,(212) 620-0628 x312,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,81,1014595,1007920064,Hudson Yards-Chelsea-Flatiron-Union Square
Rush Philanthropic Arts Foundation,"512 Seventh Avenue, 43rd Floor","512 Seventh Avenue, 43rd Floor, New York",40.7534496,-73.9893388,New York,NY,10018,(212) 997-3034,Visual Arts,Manhattan Council District #5,Manhattan Community Board #3,Manhattan,109,1014460,1007870044,Midtown-Midtown South
Russian American Cultural Center,"520 East 76th Street, Apt. 7 E","520 East 76th Street, Apt. 7 E, New York",40.7690986,-73.9513959,New York,NY,10021,(212) 744-5168,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #5,Manhattan,132,1046307,1014870039,Lenox Hill-Roosevelt Island
Science Live Productions Inc,560 2nd St,"560 2nd St, Brooklyn",40.6700941,-73.9764001,Brooklyn,NY,11215,(718) 724-3563,Science,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,155,3025306,3010780033,Park Slope-Gowanus
